,Body type,Number of previous owners,Seats,city,kilometer driven,price,Car model,Year of car manufacture,Length,Fuel type,Width,Color,Brand Name,Insurance Validity_value,Transmission type,Engine Displacement_value(cc)
921,Hatchback,3,5.0,chennai,85750,409999.99999999994,Maruti Swift,2013,3845mm,Petrol,1735,Black,Maruti,Comprehensive,Manual,1197
922,Hatchback,1,5.0,chennai,24774,865000.0,Honda Jazz,2021,3989mm,Petrol,1694,Grey,Honda,Comprehensive,Manual,1199
923,Hatchback,1,5.0,chennai,74348,581000.0,Hyundai Grand i10,2019,3765mm,Petrol,1660mm,Red,Hyundai,Third Party,Manual,1197
924,Sedan,1,5.0,chennai,40711,518000.0,Tata Tigor,2017,3992mm,Petrol,1677mm,Red,Tata,Third Party,Manual,1199
925,Hatchback,1,5.0,chennai,39386,790000.0,Maruti Baleno,2019,3995mm,Petrol,1745mm,Blue,Maruti,Comprehensive,Automatic,1197
926,Hatchback,2,5.0,chennai,93806,547000.0,Maruti Baleno,2016,3995mm,Petrol,1745mm,Red,Maruti,Third Party insurance,Manual,1197
927,Hatchback,1,5.0,chennai,80000,300000.0,Ford Figo,2014,3795mm,Diesel,1680mm,Others,Ford,Third Party insurance,Manual,1399
928,Hatchback,1,5.0,chennai,86304,407000.0,Tata Tiago,2016,3746mm,Petrol,1647mm,Others,Tata,Third Party insurance,Manual,1199
929,SUV,2,5.0,chennai,46566,692000.0,Honda WR-V,2019,3999mm,Petrol,1734mm,Silver,Honda,Third Party,Manual,1199
930,Hatchback,1,5.0,chennai,74367,455000.0,Maruti Swift,2015,3840mm,Petrol,1735mm,Grey,Maruti,Third Party insurance,Manual,1197
931,Hatchback,1,5.0,chennai,48098,295000.0,Maruti Alto 800,2016,3395mm,Petrol,1490mm,Grey,Maruti,Comprehensive,Manual,796
932,Sedan,2,5.0,chennai,36408,680000.0,Honda City,2014,4440mm,Petrol,1695mm,Silver,Honda,Comprehensive,Automatic,1497
933,MUV,1,7.0,chennai,60000,985000.0,Maruti Ertiga,2017,4296mm,Diesel,1695mm,Others,Maruti,Third Party insurance,Manual,1248
934,Hatchback,2,5.0,chennai,61696,340000.0,Hyundai i10,2014,3585mm,Petrol,1595mm,Silver,Hyundai,Third Party insurance,Manual,1197
935,Hatchback,1,5.0,chennai,110000,100000.0,Tata Indica,2007,"3,690 mm",Diesel,"1,665 mm",Brown,Tata,Third Party insurance,Manual,1396
936,Hatchback,1,5.0,chennai,85223,365000.0,Maruti Celerio,2015,3715mm,Petrol,1635mm,Yellow,Maruti,Third Party insurance,Manual,998
937,MUV,1,8.0,chennai,120000,1050000.0,Toyota Innova,2012,4585mm,Diesel,1760mm,Gray,Toyota,Third Party insurance,Manual,2494
938,Sedan,2,5.0,chennai,110000,183000.0,Tata Indigo,2013,3988mm,Diesel,1620mm,Others,Tata,Third Party insurance,Manual,1396
939,Hatchback,1,5.0,chennai,33961,660000.0,Volkswagen Polo,2016,3971mm,Petrol,1682mm,Blue,Volkswagen,Comprehensive,Manual,1199
940,Sedan,2,5.0,chennai,76597,403000.0,Honda Amaze,2014,3990mm,Petrol,1680mm,Others,Honda,Comprehensive,Manual,1198
941,Hatchback,3,5.0,chennai,36573,563000.0,Maruti Baleno,2017,3995mm,Petrol,1745mm,White,Maruti,Third Party,Manual,1197
942,SUV,1,5.0,chennai,10000,2000000.0,Toyota Hyryder,2023,4365mm,Petrol,1795,Others,Toyota,Third Party insurance,Automatic,1462
943,Hatchback,1,5.0,chennai,45636,436000.00000000006,Maruti Wagon R,2016,3599mm,Petrol,1495mm,Silver,Maruti,Comprehensive,Automatic,998
944,Sedan,1,5.0,chennai,58698,681000.0,Maruti Ciaz,2017,4490mm,Petrol,1730mm,Silver,Maruti,Comprehensive,Automatic,1373
945,Hatchback,1,5.0,chennai,10000,590000.0,Maruti Wagon R,2023,3655mm,Petrol,1620mm,Others,Maruti,Third Party insurance,Manual,998
946,Hatchback,1,5.0,chennai,77603,632000.0,Maruti Baleno,2016,3995mm,Diesel,1745mm,Silver,Maruti,Comprehensive,Manual,1248
947,SUV,1,5.0,chennai,60000,890000.0,Maruti Vitara Brezza,2019,3995mm,Diesel,1790mm,Red,Maruti,Third Party insurance,Automatic,1248
948,Sedan,2,5.0,chennai,65675,726000.0,Honda Amaze,2018,3995mm,Diesel,1695mm,Silver,Honda,Comprehensive,Automatic,1498
949,Sedan,1,5.0,chennai,120797,551000.0,Maruti Swift Dzire,2015,3995mm,Diesel,1695mm,Silver,Maruti,Comprehensive,Manual,1248
950,Hatchback,1,5.0,chennai,10000,850000.0,Hyundai i20,2019,3985mm,Petrol,1734mm,White,Hyundai,Third Party insurance,Automatic,1197
951,Hatchback,2,5.0,chennai,18228,382000.0,Maruti Alto K10,2018,3545mm,Petrol,1515mm,Grey,Maruti,Third Party insurance,Manual,998
952,Sedan,1,5.0,chennai,33654,765000.0,Maruti Swift Dzire,2017,4160mm,Diesel,1690mm,Silver,Maruti,Comprehensive,Manual,1248
953,Hatchback,2,5.0,chennai,61633,195000.0,Maruti Zen Estilo,2010,3600mm,Petrol,1495mm,Silver,Maruti,Comprehensive,Manual,998
954,Hatchback,1,5.0,chennai,45333,390000.0,Renault KWID,2018,3679mm,Petrol,1579mm,Silver,Renault,Comprehensive,Manual,999
955,Hatchback,1,5.0,chennai,63670,480000.0,Hyundai Grand i10,2018,3765mm,Diesel,1660mm,Red,Hyundai,Third Party insurance,Manual,1186
956,Hatchback,1,5.0,chennai,95535,455000.0,Maruti Swift,2013,3850mm,Diesel,1695mm,Grey,Maruti,Comprehensive,Manual,1248
957,MUV,1,7.0,chennai,175000,1750000.0,Toyota Innova Crysta,2016,4735mm,Diesel,1830mm,Brown,Toyota,Comprehensive,Automatic,2755
958,Hatchback,2,5.0,chennai,80000,520000.0,Volkswagen Polo,2015,3971mm,Diesel,1682mm,Others,Volkswagen,Third Party insurance,Manual,1498
959,MUV,1,7.0,chennai,55500,2625000.0,Toyota Innova Crysta,2020,4735mm,Diesel,1830mm,White,Toyota,Comprehensive,Automatic,2393
960,SUV,2,5.0,chennai,42375,782000.0,Honda WR-V,2017,3999mm,Petrol,1734mm,Silver,Honda,Third Party insurance,Manual,1199
961,Sedan,2,5.0,chennai,63155,611000.0,Hyundai Xcent,2018,3995mm,Diesel,1660mm,Silver,Hyundai,Third Party insurance,Manual,1186
962,SUV,2,7.0,chennai,85000,1700000.0,Toyota Fortuner,2015,4705mm,Diesel,1840mm,White,Toyota,Comprehensive,Manual,2982
963,Sedan,1,5.0,chennai,106121,515000.00000000006,Maruti Swift Dzire,2014,3995mm,Diesel,1695mm,Silver,Maruti,Third Party,Manual,1248
964,Hatchback,1,5.0,chennai,51012,679000.0,Maruti Swift,2022,3845mm,Petrol,1735,Others,Maruti,Comprehensive,Manual,1197
965,Sedan,1,5.0,chennai,62930,409999.99999999994,Maruti Swift Dzire,2012,3995mm,Petrol,1695mm,Grey,Maruti,Third Party insurance,Manual,1197
966,SUV,1,7.0,chennai,111242,798000.0,Mahindra TUV 300,2019,3995mm,Diesel,1835mm,Others,Mahindra,Third Party insurance,Manual,1493
967,SUV,1,5.0,chennai,16000,944999.9999999999,Kia Sonet,2022,3995mm,Petrol,1790,Maroon,Kia,Comprehensive,Manual,1197
968,SUV,1,5.0,chennai,72898,885000.0,Renault Duster,2018,4315mm,Diesel,1822mm,White,Renault,Third Party,Manual,1461
969,Hatchback,1,5.0,chennai,97326,574000.0,Hyundai i20,2018,3985mm,Petrol,1734mm,Silver,Hyundai,Zero Dep,Manual,1197
970,SUV,1,5.0,chennai,1870,710000.0,Honda WR-V,2018,3999mm,Diesel,1734mm,PREMIUM AMBER METALLIC,Honda,Comprehensive,Manual,1498
971,Hatchback,1,5.0,chennai,10000,620000.0,Hyundai Santro,2022,3610 mm,Petrol,1645 mm,Black,Hyundai,Third Party insurance,Automatic,1086
972,Hatchback,1,5.0,chennai,110000,225000.0,Chevrolet Beat,2016,3640mm,Diesel,1595mm,Others,Chevrolet,Third Party insurance,Manual,936
973,Hatchback,1,5.0,chennai,20000,500000.0,Maruti Ignis,2017,3700mm,Petrol,1690mm,Red,Maruti,Third Party insurance,Manual,1197
974,SUV,1,5.0,chennai,70000,1150000.0,Hyundai Creta,2018,4270mm,Diesel,1780mm,Others,Hyundai,Third Party insurance,Manual,1582
975,Hatchback,1,5.0,chennai,30000,285000.0,Datsun RediGO,2018,3429mm,Petrol,1560mm,Others,Datsun,Third Party insurance,Manual,799
976,Sedan,0,5.0,chennai,167332,445000.0,Honda City,2015,4440mm,Petrol,1695mm,Brown,Honda,Third Party insurance,Manual,1497
977,Sedan,2,5.0,chennai,71887,550000.0,Honda City,2015,4440mm,Petrol,1695mm,TITANIUM GREY,Honda,Comprehensive,Manual,1497
978,Hatchback,2,5.0,chennai,100000,200000.0,Ford Figo,2011,3795mm,Diesel,1680mm,Others,Ford,Third Party insurance,Manual,1399
979,SUV,2,5.0,chennai,20000,1300000.0,Skoda Kushaq,2021,4225mm,Petrol,1760mm,White,Skoda,Third Party insurance,Automatic,999
980,SUV,2,5.0,chennai,61426,678000.0,Renault Duster,2018,4315mm,Petrol,1822mm,Brown,Renault,Third Party,Manual,1498
981,Hatchback,2,5.0,chennai,121735,310000.0,Toyota Etios Liva,2012,3884mm,Petrol,1695mm,Black,Toyota,Third Party insurance,Manual,1197
982,SUV,1,5.0,chennai,15000,1825000.0,Hyundai Creta,2022,4300mm,Petrol,1790mm,White,Hyundai,Comprehensive,Automatic,1497
983,Hatchback,1,5.0,chennai,71195,430999.99999999994,Maruti Swift,2013,3850mm,Diesel,1695mm,Red,Maruti,Comprehensive,Manual,1248
984,Sedan,1,5.0,chennai,91700,728000.0,Volkswagen Vento,2016,4390mm,Petrol,1699mm,Brown,Volkswagen,Third Party,Automatic,1197
985,Hatchback,0,5.0,chennai,132724,225000.0,Maruti Alto K10,2015,3545mm,Petrol,1515mm,Red,Maruti,Third Party insurance,Manual,998
986,SUV,1,5.0,chennai,59232,861000.0,Maruti Vitara Brezza,2016,3995mm,Diesel,1790mm,Silver,Maruti,Comprehensive,Manual,1248
987,Hatchback,1,5.0,chennai,55023,780000.0,Volkswagen Polo,2017,3971mm,Petrol,1682mm,Red,Volkswagen,Third Party insurance,Automatic,1197
988,SUV,1,5.0,chennai,58323,1478000.0,Hyundai Creta,2020,4300mm,Diesel,1790mm,Blue,Hyundai,Third Party,Manual,1493
989,SUV,2,7.0,chennai,73498,695000.0,Mahindra TUV 300,2016,3995mm,Diesel,1835mm,Black,Mahindra,Third Party,Manual,1493
990,SUV,1,5.0,chennai,52743,800000.0,Maruti Vitara Brezza,2018,3995mm,Diesel,1790mm,White,Maruti,Comprehensive,Manual,1248
991,SUV,1,5.0,chennai,49000,2700000.0,BMW X1,2018,4477mm,Diesel,2058mm,White,BMW,Comprehensive,Automatic,1995
992,Sedan,2,5.0,chennai,100000,420000.0,Hyundai Verna,2012,4370mm,Diesel,1700mm,Others,Hyundai,Third Party insurance,Manual,1582
993,Hatchback,1,5.0,chennai,111350,290000.0,Maruti Swift,2011,3760mm,Petrol,1690mm,COPPER,Maruti,Comprehensive,Manual,1197
994,SUV,2,5.0,chennai,105000,2000000.0,Land Rover Range Rover Evoque,2013,4355mm,Diesel,2120mm,Red,Land Rover,Comprehensive,Automatic,2179
995,Sedan,1,5.0,chennai,150000,100000.0,Skoda Octavia,2005,4507 mm,Diesel,1731 mm,Gray,Skoda,Third Party insurance,Manual,1896
996,Hatchback,1,5.0,chennai,20000,650000.0,Tata Tiago,2022,3765mm,Cng,1677,Others,Tata,Third Party insurance,Manual,1199
997,Sedan,1,5.0,chennai,63134,500000.0,Ford Aspire,2017,3995mm,Diesel,1695mm,Silver,Ford,Third Party insurance,Manual,1498
998,Sedan,1,5.0,chennai,89547,790000.0,Honda City,2019,4440mm,Petrol,1695mm,White,Honda,Third Party insurance,Automatic,1497
999,SUV,1,5.0,chennai,25000,900000.0,Ford Ecosport,2018,3998mm,Diesel,1765mm,Blue,Ford,Comprehensive,Manual,1498
1000,Hatchback,2,5.0,chennai,61583,568000.0,Volkswagen Polo,2016,3971mm,Petrol,1682mm,Silver,Volkswagen,Third Party,Manual,1199
1001,Sedan,1,5.0,chennai,102002,461000.00000000006,Honda Amaze,2015,3990mm,Diesel,1680mm,Silver,Honda,Third Party,Manual,1498
1002,Hatchback,2,5.0,chennai,38980,400000.0,Maruti Wagon R,2016,3595mm,Petrol,1475mm,Grey,Maruti,Comprehensive,Manual,998
1003,Sedan,1,5.0,chennai,108463,983000.0,Hyundai Elantra,2017,4570mm,Petrol,1800mm,Blue,Hyundai,Third Party,Automatic,1999
1004,SUV,1,5.0,chennai,30033,739000.0,Honda WR-V,2017,3999mm,Petrol,1734mm,Brown,Honda,Zero Dep,Manual,1199
1005,Hatchback,1,5.0,chennai,29084,340000.0,Renault KWID,2016,3679mm,Petrol,1579mm,Brown,Renault,Comprehensive,Manual,799
1006,Hatchback,3,5.0,chennai,69437,366000.0,Maruti Celerio,2016,3715mm,Petrol,1635mm,White,Maruti,Third Party,Manual,998
1007,Sedan,2,5.0,chennai,70000,300000.0,Honda New Accord,2009,4950mm,Petrol,1845mm,Others,Honda,Third Party insurance,Manual,2354
1008,Hatchback,3,5.0,chennai,88122,368000.0,Maruti Swift,2013,3845mm,Petrol,1735,Others,Maruti,Comprehensive,Manual,1197
1009,Sedan,2,5.0,chennai,98263,346000.0,Volkswagen Vento,2011,4384mm,Petrol,1699mm,Others,Volkswagen,Third Party,Manual,1598
1010,Hatchback,2,5.0,chennai,73674,450000.0,Honda Jazz,2016,3955mm,Petrol,1694mm,White,Honda,Comprehensive,Manual,1199
1011,Hatchback,1,5.0,chennai,37718,450000.0,Maruti Celerio,2016,3715mm,Petrol,1635mm,Blue,Maruti,Comprehensive,Manual,998
1012,Hatchback,1,5.0,chennai,66030,590000.0,Honda Jazz,2016,3955mm,Diesel,1694mm,White,Honda,Third Party insurance,Manual,1498
1013,Hatchback,1,5.0,chennai,72110,185000.0,Hyundai Santro Xing,2006,3565mm,Petrol,1525mm,R EARTH,Hyundai,Third Party insurance,Manual,1086
1014,Hybrids,1,4.0,chennai,35000,8200000.0,Volvo XC 90,2017,4950mm,Petrol,2140mm,White,Volvo,Comprehensive,Automatic,1969
1015,Sedan,1,5.0,chennai,100000,200000.0,Honda City,2008,4420mm,Petrol,1695mm,Gray,Honda,Third Party insurance,Manual,1497
1016,Hatchback,1,5.0,chennai,10000,300000.0,Hyundai Grand i10,2013,3765mm,Petrol,1660mm,Orange,Hyundai,Third Party insurance,Manual,1197
1017,Hatchback,1,5.0,chennai,20000,150000.0,Maruti Ritz,2010,3715mm,Petrol,1680mm,Others,Maruti,Third Party insurance,Manual,1197
1018,Minivans,3,8.0,chennai,90000,80000.0,Maruti Versa,2002,3675mm,Petrol,1475mm,Others,Maruti,Third Party insurance,Manual,1298
1019,Hatchback,4,5.0,chennai,90000,180000.0,Fiat Punto,2014,3987mm,Petrol,1687mm,Others,Fiat,Third Party insurance,Manual,1172
1020,Hatchback,1,5.0,chennai,56118,843000.0,Toyota Glanza,2020,3995mm,Petrol,1745mm,Red,Toyota,Third Party insurance,Automatic,1197
1021,Hatchback,1,5.0,chennai,93968,300000.0,Hyundai i10,2012,3585mm,Petrol,1595mm,Silver,Hyundai,Comprehensive,Manual,1197
1022,Hatchback,1,5.0,chennai,30000,560000.0,Hyundai Grand i10 Nios,2021,3805mm,Petrol,1680,Others,Hyundai,Third Party insurance,Manual,1197
1023,Hatchback,2,5.0,chennai,41364,744000.0,Volkswagen Polo,2020,3971mm,Petrol,1682mm,White,Volkswagen,Third Party,Manual,999
1024,Sedan,2,5.0,chennai,108898,419000.00000000006,Honda City,2013,4440mm,Petrol,1695mm,Silver,Honda,Comprehensive,Automatic,1497
1025,MUV,1,7.0,chennai,3500,2655000.0,Toyota Innova Crysta,2022,4735mm,Petrol,1830mm,White,Toyota,Comprehensive,Automatic,2694
1026,SUV,1,5.0,chennai,35589,1369000.0,Kia Seltos,2020,4315mm,Petrol,1800mm,White,Kia,Comprehensive,Manual,1497
1027,Sedan,1,5.0,chennai,150000,90000.0,Mitsubishi Lancer,2003,4290mm,Petrol,1690mm,Black,Mitsubishi,Third Party insurance,Manual,1468
1028,Hatchback,1,5.0,chennai,41514,380000.0,Hyundai i10,2016,3585mm,Petrol,1595mm,Silver,Hyundai,Comprehensive,Manual,1086
1029,MUV,1,7.0,chennai,27925,661000.0,Renault Triber,2021,3991mm,Petrol,1739,Silver,Renault,Third Party,Manual,999
1030,Sedan,1,5.0,chennai,10000,2000000.0,Skoda Slavia,2022,4541mm,Petrol,1752mm,Black,Skoda,Third Party insurance,Automatic,1498
1031,SUV,2,6.0,chennai,40000,320000.0,Mahindra KUV 100,2017,3675mm,Petrol,1715mm,Others,Mahindra,Third Party insurance,Manual,1198
1032,Hatchback,2,5.0,chennai,60000,200000.0,Hyundai EON,2014,3495mm,Petrol,1550mm,Others,Hyundai,Third Party insurance,Manual,814
1033,Sedan,5,5.0,chennai,90000,145000.0,Hyundai Verna,2008,4310mm,Petrol,1695mm,Black,Hyundai,Third Party insurance,Manual,1599
1034,Hatchback,3,5.0,chennai,65744,325000.0,Volkswagen Polo,2013,3971mm,Petrol,1682mm,Red,Volkswagen,Third Party insurance,Manual,1198
1035,Hatchback,4,5.0,chennai,80000,200000.0,Maruti A-Star,2011,3500mm,Petrol,1600mm,Others,Maruti,Third Party insurance,Automatic,998
